,wavelength,n,k
643,1.542232056,3.506974,2.688359
644,1.545693237,3.51126,2.691613
645,1.549155029,3.515562,2.694861
646,1.552617188,3.519879,2.698103
647,1.556079834,3.524211,2.70134
648,1.559542969,3.528558,2.704569
649,1.563006592,3.532921,2.707792
650,1.566470581,3.5373,2.711009
651,1.569935181,3.541694,2.714218
652,1.573400146,3.546104,2.717419
653,1.576865601,3.550531,2.720613
654,1.580331543,3.554973,2.7238
655,1.583797974,3.559432,2.726978
656,1.587264893,3.563907,2.730149
657,1.590732178,3.568398,2.733311
658,1.594199951,3.572907,2.736464
659,1.597668335,3.577432,2.739608
660,1.601137085,3.581974,2.742744
661,1.604606323,3.586533,2.74587
662,1.60807605,3.591109,2.748986
663,1.611546143,3.595702,2.752093
664,1.615016846,3.600313,2.75519
665,1.618488037,3.604942,2.758277
666,1.621959595,3.609588,2.761353
667,1.625431641,3.614253,2.764418
668,1.628904175,3.618935,2.767473
669,1.632377197,3.623636,2.770516
670,1.635850708,3.628355,2.773548
671,1.639324585,3.633093,2.776568
672,1.642799072,3.63785,2.779576
673,1.646274048,3.642626,2.782572
674,1.649749268,3.647421,2.785555
675,1.65322522,3.652236,2.788526
676,1.656701416,3.657071,2.791483
677,1.660178101,3.661926,2.794427
678,1.663655518,3.666801,2.797357
679,1.667133179,3.671697,2.800272
680,1.670611328,3.676614,2.803174
681,1.674090088,3.681552,2.80606
682,1.677569092,3.686513,2.808931
683,1.681048584,3.691495,2.811786
684,1.684528687,3.696501,2.814625
